,Lat,Lon,Elevation,Percipitation,Temp,Human.index,Current.velocity,Catchment.area,Perimeter,Longest.distance,Slope,Cumulative.detric.distance,Urban.,Agri.,Plant.,Water.,Forest.,Bare.land.,TN,TP,NH4,NO3,TOC,WT,EC,DO,pH,ORP,Chl.a,Archaea,Bacteria,Fungi,Protist
34,38.5,112.2,10,51,29.8,27,0.1,2500,220,175,0,1160,50,68,1,34,0,51,5.2,0.65,1.3,3.8,14.5,35.5,980,2.4,9,25,20,0,0.5,0,0.2
35,38.6,112.3,5,50,30,27.5,0.1,2550,225,180,0,1190,51,69,0,35,0,52,5.3,0.67,1.35,3.9,14.8,36,1000,2.3,9,20,20.5,0,0.4,0,0.1
36,38.7,112.4,0,49,30.2,28,0.1,2600,230,185,0,1220,52,70,0,36,0,53,5.4,0.69,1.4,4,15,36.5,1020,2.2,9.1,15,21,0,0.3,0,0.1
37,38.8,112.5,-5,48,30.5,28.5,0.1,2650,235,190,0,1250,53,71,0,37,0,54,5.5,0.71,1.45,4.1,15.3,37,1040,2.1,9.1,10,21.5,0,0.2,0,0
38,38.9,112.6,-10,47,30.8,29,0.1,2700,240,195,0,1280,54,72,0,38,0,55,5.6,0.73,1.5,4.2,15.5,37.5,1060,2,9.2,5,22,0,0.1,0,0
39,39,112.7,-15,46,31,29.5,0.1,2750,245,200,0,1310,55,73,0,39,0,56,5.7,0.75,1.55,4.3,15.8,38,1080,1.9,9.2,0,22.5,0,0,0,0
40,39.1,112.8,-20,45,31.3,30,0.1,2800,250,205,0,1340,56,74,0,40,0,57,5.8,0.77,1.6,4.4,16,38.5,1100,1.8,9.3,-5,23,0,0,0,0
41,39.2,112.9,-25,44,31.5,30.5,0.1,2850,255,210,0,1370,57,75,0,41,0,58,5.9,0.79,1.65,4.5,16.3,39,1120,1.7,9.3,-10,23.5,0,0,0,0
42,39.3,113,-30,43,31.8,31,0.1,2900,260,215,0,1400,58,76,0,42,0,59,6,0.81,1.7,4.6,16.5,39.5,1140,1.6,9.4,-15,24,0,0,0,0
43,39.4,113.1,-35,42,32,31.5,0.1,2950,265,220,0,1430,59,77,0,43,0,60,6.1,0.83,1.75,4.7,16.8,40,1160,1.5,9.4,-20,24.5,0,0,0,0
44,39.5,113.2,-40,41,32.3,32,0.1,3000,270,225,0,1460,60,78,0,44,0,61,6.2,0.85,1.8,4.8,17,40.5,1180,1.4,9.5,-25,25,0,0,0,0
45,39.6,113.3,-45,40,32.5,32.5,0.1,3050,275,230,0,1490,61,79,0,45,0,62,6.3,0.87,1.85,4.9,17.3,41,1200,1.3,9.5,-30,25.5,0,0,0,0
46,39.7,113.4,-50,39,32.8,33,0.1,3100,280,235,0,1520,62,80,0,46,0,63,6.4,0.89,1.9,5,17.5,41.5,1220,1.2,9.6,-35,26,0,0,0,0
47,39.8,113.5,-55,38,33,33.5,0.1,3150,285,240,0,1550,63,81,0,47,0,64,6.5,0.91,1.95,5.1,17.8,42,1240,1.1,9.6,-40,26.5,0,0,0,0
48,39.9,113.6,-60,37,33.3,34,0.1,3200,290,245,0,1580,64,82,0,48,0,65,6.6,0.93,2,5.2,18,42.5,1260,1,9.7,-45,27,0,0,0,0
49,37,110.4,160,66,25.5,19.2,0.1,1700,140,95,1.1,1600,33,48,22,18,12,33,3.4,0.28,0.68,1.95,10.2,27,630,4.2,8.1,110,11.5,0.8,2.1,1.3,1.9
50,37.1,110.5,150,65,26,20,0.1,1800,150,100,1,1630,35,50,20,20,10,35,3.5,0.3,0.7,2,10.5,28,650,4,8.2,100,12,0.8,2,1.2,1.8
